,caseorder,customer_id,city,state,county,zip,lat,lng,population,area,timezone,job,children,age,education,employment,income,marital,gender,churn,outage_sec_perweek,email,contacts,yearly_equip_failure,techie,contract,port_modem,tablet,internetservice,phone,multiple,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,paperlessbilling,paymentmethod,tenure,monthlycharge,bandwidth_gb_year,item1,item2,item3,item4,item5,item6,item7,item8,zscoreincome,contract_type_num
2699,2700,O608143,Interlachen,FL,Putnam,32148,29.60797,-81.88407,10450,Rural,America/New_York,Radio broadcast assistant,1.0,79.0,"Some College, Less than 1 Year",Retired,40279.05,Never Married,Male,No,10.66812877,11,1,1,No,Two Year,No,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,No,No,No,Bank Transfer(automatic),10.55294353,170.4459485,1119.402193,3,5,3,4,3,2,3,5,0.01392892328136957,2
2700,2701,M739753,Glendale,AZ,Maricopa,85310,33.69578,-112.17189,19649,Rural,America/Phoenix,"Designer, fashion/clothing",4.0,38.0,"Some College, 1 or More Years, No Degree",Full Time,33868.71,Widowed,Female,Yes,13.01362462,12,1,1,No,Month-to-month,No,No,None,Yes,No,Yes,Yes,No,No,Yes,No,No,Mailed Check,8.436679111,128.5154748,1214.354546,3,1,3,3,3,2,4,4,-0.24693091731191724,0
2701,2702,J773316,Raleigh,NC,Wake,27606,35.74049,-78.71758,46589,Rural,America/New_York,Brewing technologist,1.0,51.0,Nursery School to 8th Grade,Full Time,48969.64,Never Married,Female,Yes,8.851825043,11,0,0,Yes,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,No,Mailed Check,0.0,147.004065,1429.845787,5,5,5,3,3,3,3,1,0.36758035550830453,0
2702,2703,C94744,Florissant,MO,St. Louis,63034,38.84808,-90.28876,17879,Rural,America/Chicago,Chartered loss adjuster,0.0,53.27574750830565,"9th Grade to 12th Grade, No Diploma",Full Time,22041.71,Widowed,Male,Yes,11.963779,14,3,0,No,Month-to-month,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Yes,Electronic Check,9.436908795,151.9225592,1150.114958,4,4,4,2,3,4,4,5,-0.7282141775909042,0
2703,2704,V252156,Mendocino,CA,Mendocino,95460,39.30879,-123.75604,2277,Suburban,America/Los_Angeles,Hydrographic surveyor,0.0,65.0,"Some College, Less than 1 Year",Unemployed,25491.07,Separated,Male,Yes,16.01859229,7,0,0,Yes,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,No,Credit Card (automatic),13.50243543,191.0422675,1544.180199,2,2,2,3,3,3,2,2,-0.5878472860143483,0
2704,2705,A995509,Sterling City,TX,Sterling,76951,31.81488,-101.04641,1141,Urban,America/Chicago,Oncologist,2.0,53.27574750830565,Associate's Degree,Full Time,39936.76222636489,Widowed,Male,Yes,11.01268062,10,0,1,Yes,One year,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Yes,No,No,Mailed Check,1.717358823,152.6581477,944.8425929,3,3,4,6,3,3,3,5,1.1843397656906803e-15,1
2705,2706,N213769,Lytle,TX,Atascosa,78052,29.20448,-98.77533,7362,Suburban,America/Chicago,Phytotherapist,0.0,53.27574750830565,"9th Grade to 12th Grade, No Diploma",Part Time,16680.61,Divorced,Female,Yes,5.277022615,10,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Bank Transfer(automatic),0.0,183.6767311,518.7305953,3,2,2,4,3,3,3,4,-0.946376660611254,0
2706,2707,V639117,Old Glory,TX,Stonewall,79540,33.16876,-100.03773,77,Urban,America/Chicago,Armed forces training and education officer,0.0,73.0,"Some College, 1 or More Years, No Degree",Retired,108960.66,Never Married,Female,Yes,8.295694443,13,1,1,Yes,Month-to-month,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Bank Transfer(automatic),1.38776937,159.3320455,617.6429974,3,3,2,4,4,3,4,3,2.8088311962170143,0
2707,2708,P299531,Pinon Hills,CA,San Bernardino,92372,34.44481,-117.62514,6282,Suburban,America/Los_Angeles,Insurance account manager,4.0,51.0,"Some College, Less than 1 Year",Full Time,18347.2,Widowed,Female,Yes,11.87240559,11,1,0,No,One year,Yes,Yes,None,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Bank Transfer(automatic),10.39541776,220.7239451,1581.59431,3,2,2,4,3,4,3,3,-0.878557106307681,1
2708,2709,M649398,Orick,CA,Humboldt,95555,41.3011,-123.99042,337,Rural,America/Los_Angeles,"Engineer, maintenance (IT)",0.0,78.0,"Some College, 1 or More Years, No Degree",Unemployed,41305.01,Separated,Female,Yes,10.68279869,12,1,0,No,Month-to-month,Yes,No,None,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Bank Transfer(automatic),9.026365795,182.1872667,1146.502548,1,2,2,5,2,4,4,4,0.05567893374182692,0
2709,2710,W424467,Jackhorn,KY,Letcher,41825,37.23018,-82.70802,692,Suburban,America/New_York,Animal nutritionist,0.0,53.27574750830565,"Some College, 1 or More Years, No Degree",Full Time,66284.45,Married,Female,No,9.928644559,14,0,1,No,Two Year,Yes,No,None,Yes,No,No,No,Yes,Yes,No,No,Yes,Bank Transfer(automatic),1.500081731,104.4918522,155.5067148,4,4,4,4,4,4,2,2,1.0721823854323094,2
2710,2711,B12658,Ronan,MT,Lake,59864,47.52899,-114.11019,7186,Rural,America/Denver,Dentist,3.0,53.27574750830565,Regular High School Diploma,Full Time,68024.79,Separated,Female,Yes,7.836955117,14,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Bank Transfer(automatic),0.0,233.8237535,1021.747631,4,4,3,2,5,3,3,4,1.1430030930668684,0
2711,2712,J874338,Roanoke Rapids,NC,Halifax,27870,36.43001,-77.72095,25792,Urban,America/New_York,"Engineer, civil (contracting)",1.0,47.0,Bachelor's Degree,Unemployed,53148.58,Married,Female,Yes,6.978177552,12,0,0,No,Month-to-month,No,No,None,Yes,No,No,No,No,No,Yes,No,Yes,Electronic Check,1.736878657,101.6614781,374.332233,4,3,3,4,4,3,3,3,0.5376364870471793,0
2712,2713,B276870,Harrisburg,PA,Dauphin,17120,40.26517,-76.88281,0,Suburban,America/New_York,"Engineer, civil (contracting)",5.0,53.0,"Some College, Less than 1 Year",Full Time,20473.21,Widowed,Female,Yes,17.19378531,16,0,0,No,One year,Yes,No,None,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Credit Card (automatic),7.359811655,152.8573325,1170.830123,4,3,4,4,4,4,5,3,-0.7920420962302541,1
2713,2714,G298695,Sloan,NV,Clark,89054,35.92722,-115.20828,40,Suburban,America/Los_Angeles,Dancer,0.0,59.0,Regular High School Diploma,Retired,11132.31,Widowed,Male,Yes,6.769058557,10,2,0,Yes,Month-to-month,No,No,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Credit Card (automatic),9.328119116,195.0832411,1667.732624,3,3,3,3,3,3,4,1,-1.1721569863917483,0
2714,2715,C308399,Midfield,TX,Matagorda,77458,28.9529,-96.24037,87,Suburban,America/Chicago,Conference centre manager,2.0,20.0,GED or Alternative Credential,Full Time,42461.74,Widowed,Female,No,15.28978898,12,1,1,No,Two Year,No,No,None,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Bank Transfer(automatic),17.98714859,165.6734898,2047.681612,2,4,3,3,5,3,1,2,0.10275044686117338,2
2715,2716,H810717,Boynton Beach,FL,Palm Beach,33436,26.52439,-80.1075,44249,Urban,America/New_York,Logistics and distribution manager,5.0,53.27574750830565,Regular High School Diploma,Full Time,18437.44,Never Married,Male,No,10.32056934,16,1,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Electronic Check,25.68868553,175.642745,2790.931185,4,5,4,3,3,5,4,3,-0.8748849154386885,0
2716,2717,M697338,Zephyr Cove,NV,Douglas,89448,39.00784,-119.92412,1442,Rural,America/Los_Angeles,Dispensing optician,2.0,81.0,"Some College, 1 or More Years, No Degree",Part Time,39936.76222636489,Separated,Male,No,12.67201994,9,0,0,No,Two Year,Yes,Yes,Fiber Optic,No,No,No,Yes,No,No,No,Yes,No,Electronic Check,0.0,170.5096489,0.0,3,2,2,5,3,4,4,5,1.1843397656906803e-15,2
2717,2718,U509405,Woodbridge,CA,San Joaquin,95258,38.16833,-121.31028,3881,Rural,America/Los_Angeles,Applications developer,1.0,43.0,"Some College, 1 or More Years, No Degree",Full Time,52633.73,Divorced,Female,No,12.03198973,14,0,0,No,Two Year,Yes,No,None,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Mailed Check,9.499598689,172.0244717,1193.771492,3,3,3,5,3,5,4,4,0.5166853847765581,2
2718,2719,A936347,Delmar,NY,Albany,12054,42.60873,-73.86589,16649,Rural,America/New_York,"Designer, fashion/clothing",0.0,37.0,Nursery School to 8th Grade,Full Time,39936.76222636489,Never Married,Male,Yes,38.42668698,11,0,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Mailed Check,1.131429853,237.0003735,730.8534585,4,4,4,3,4,4,3,4,1.1843397656906803e-15,0
2719,2720,S199884,Fort Lauderdale,FL,Broward,33321,26.21204,-80.2696,47974,Suburban,America/New_York,Secretary/administrator,3.0,30.0,Bachelor's Degree,Full Time,19713.67,Separated,Male,Yes,11.74547184,11,3,0,No,Month-to-month,Yes,No,None,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Mailed Check,0.0,182.8553058,0.0,4,3,3,2,5,2,1,3,-0.8229505165830319,0
2720,2721,S287151,Singer,LA,Beauregard,70660,30.55759,-93.4503,1656,Urban,America/Chicago,Diagnostic radiographer,0.0,19.0,Regular High School Diploma,Full Time,39936.76222636489,Widowed,Female,No,7.394439174,13,2,0,No,One year,Yes,No,DSL,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Credit Card (automatic),3.155929384,162.7285846,1076.138741,4,3,4,4,3,4,3,5,1.1843397656906803e-15,1
2721,2722,K261171,Star City,IN,Pulaski,46985,40.95286,-86.57828,1538,Rural,America/Indiana/Winamac,Chief Strategy Officer,0.0,82.0,Bachelor's Degree,Full Time,19437.76,Married,Female,No,12.92053942,16,2,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,11.88502513,124.9378581,868.8224639,3,4,4,3,2,3,3,5,-0.8341782889973022,2
2722,2723,Y875215,Port Hadlock,WA,Jefferson,98339,48.01877,-122.74952,3141,Urban,America/Los_Angeles,Community development worker,2.0,31.0,Associate's Degree,Full Time,23901.05,Separated,Male,No,10.55504503,16,2,0,No,One year,No,Yes,None,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Electronic Check,4.448952782,173.7252264,977.9373731,3,3,5,2,6,3,2,3,-0.6525509310222789,1
2723,2724,H361743,Littleton,NH,Grafton,3561,44.33165,-71.81169,5931,Urban,America/New_York,Art gallery manager,4.0,30.0,Associate's Degree,Full Time,23089.13,Never Married,Male,Yes,12.2929187,9,0,0,Yes,One year,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Yes,Credit Card (automatic),8.962033642,159.926909,1245.735579,4,4,4,3,4,5,5,5,-0.6855908823781354,1
2724,2725,J499878,Bowman,GA,Elbert,30624,34.1872,-83.04685,3256,Rural,America/New_York,Building control surveyor,0.0,37.0,Regular High School Diploma,Unemployed,45251.32,Widowed,Female,Yes,10.274812,12,2,0,No,One year,Yes,No,None,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Mailed Check,1.79611326,245.9034768,1042.042108,2,2,4,4,5,2,2,2,0.21626851206866957,1
2725,2726,U561554,Saint Louis,MO,St. Louis,63115,38.68221,-90.23995,18213,Suburban,America/Chicago,"Surveyor, rural practice",0.0,53.27574750830565,Bachelor's Degree,Student,52581.07,Never Married,Female,Yes,8.074566455,14,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Yes,No,Electronic Check,2.972634318,194.1932892,438.8374341,5,5,4,3,3,4,5,6,0.5145424595642225,0
2726,2727,K691390,Saint Stephens Church,VA,King and Queen,23148,37.84792,-77.05503,1980,Suburban,America/New_York,Television camera operator,0.0,64.0,Bachelor's Degree,Full Time,39936.76222636489,Widowed,Male,Yes,11.56105768,12,0,1,No,Month-to-month,No,No,DSL,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,10.22422346,254.7681418,2017.913692,5,5,5,4,4,5,4,4,1.1843397656906803e-15,0
2727,2728,E342786,Goodland,IN,Newton,47948,40.77706,-87.28169,1488,Rural,America/Indiana/Indianapolis,"Surveyor, building control",0.0,53.0,Professional School Degree,Full Time,23117.3,Separated,Male,No,5.037074745,9,0,0,Yes,Month-to-month,No,Yes,DSL,Yes,No,No,No,Yes,Yes,No,No,No,Bank Transfer(automatic),7.650642273,116.581519,1197.872957,4,4,3,3,4,4,4,3,-0.6844445435397098,0
2728,2729,Z367148,Frametown,WV,Braxton,26623,38.65216,-80.87741,1319,Suburban,America/New_York,"Radiographer, diagnostic",0.0,53.27574750830565,Regular High School Diploma,Full Time,5676.28,Divorced,Female,Yes,7.811605518,12,1,0,Yes,One year,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Mailed Check,2.945436495,265.5123486,922.2317794,4,4,4,4,3,3,4,3,-1.394182513286139,1
2729,2730,C189627,Georgetown,IL,Vermilion,61846,39.97625,-87.6124,4918,Urban,America/Chicago,Art therapist,2.0,53.27574750830565,Bachelor's Degree,Unemployed,39936.76222636489,Married,Female,No,9.481543014,12,2,2,No,One year,No,Yes,None,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Bank Transfer(automatic),5.294527245,127.8948167,723.6126048,4,4,4,4,4,4,3,4,1.1843397656906803e-15,1
2730,2731,Q527117,Black River Falls,WI,Jackson,54615,44.26093,-90.78617,10692,Urban,America/Chicago,Dealer,2.0,25.0,"Some College, 1 or More Years, No Degree",Full Time,34476.83,Married,Female,No,15.22146024,13,0,0,No,One year,Yes,Yes,None,Yes,Yes,No,No,No,No,Yes,No,No,Electronic Check,0.0,139.0487353,0.0,4,4,3,5,2,3,5,6,-0.22218432255070486,1
2731,2732,G485481,Ottawa,WV,Boone,25149,37.95523,-81.76712,266,Suburban,America/New_York,Company secretary,5.0,53.27574750830565,"Some College, 1 or More Years, No Degree",Full Time,39968.02,Widowed,Male,No,10.88219873,10,0,0,No,Two Year,Yes,No,None,No,No,No,Yes,No,Yes,Yes,No,Yes,Bank Transfer(automatic),4.213099407,138.9880329,839.1770355,5,4,4,4,3,4,4,4,0.0012719914774821713,2
2732,2733,H813222,Berkeley Heights,NJ,Union,7922,40.67518,-74.42816,12404,Urban,America/New_York,Sales executive,0.0,53.27574750830565,Associate's Degree,Part Time,33541.35,Married,Male,No,9.026106815,10,2,1,No,Two Year,Yes,No,Fiber Optic,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Credit Card (automatic),11.16115945,192.6299149,1262.191241,3,3,4,2,3,3,2,3,-0.26025237567709264,2
2733,2734,F636452,South Amana,IA,Iowa,52334,41.7402,-91.94109,152,Suburban,America/Chicago,Professor Emeritus,3.0,53.27574750830565,Master's Degree,Full Time,39936.76222636489,Widowed,Female,No,8.981017539,9,1,1,No,Two Year,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Bank Transfer(automatic),23.22011986,201.0855263,2884.562817,3,4,4,4,5,4,5,4,1.1843397656906803e-15,2
2734,2735,X750751,Page,AZ,Coconino,86040,36.69612,-111.41907,10821,Urban,America/Denver,Minerals surveyor,5.0,76.0,Regular High School Diploma,Full Time,23841.62,Divorced,Male,No,11.59432008,15,0,0,No,Two Year,No,No,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Yes,Mailed Check,13.81356018,145.8292971,0.0,3,2,3,1,5,1,1,3,-0.6549693519369978,2
2735,2736,J491267,Clayton,KS,Norton,67629,39.70386,-100.18538,190,Urban,America/Chicago,"Journalist, magazine",1.0,53.27574750830565,Bachelor's Degree,Full Time,39936.76222636489,Divorced,Male,Yes,8.804282073,7,1,0,No,Month-to-month,Yes,No,None,Yes,No,No,No,No,No,Yes,No,No,Credit Card (automatic),7.923776509,103.3780567,807.0176026,3,4,3,4,4,3,3,1,1.1843397656906803e-15,0
2736,2737,Q969773,Saint George,UT,Washington,84770,37.17565,-113.60824,41454,Rural,America/Denver,Trading standards officer,4.0,63.0,Associate's Degree,Unemployed,30262.99,Separated,Male,No,7.179629052,12,1,0,No,Two Year,Yes,No,Fiber Optic,No,No,Yes,No,No,No,Yes,Yes,No,Mailed Check,1.992273443,211.0781124,818.8755109,4,4,4,3,1,4,6,2,-0.39366066088620894,2
2737,2738,J801308,Springfield,IL,Sangamon,62704,39.774,-89.68514,40828,Rural,America/Chicago,Herbalist,3.0,51.0,"Some College, 1 or More Years, No Degree",Full Time,31246.64,Never Married,Female,No,11.88872708,11,0,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,No,Mailed Check,14.60083924,208.214241,1738.296024,4,3,3,4,4,4,3,4,-0.35363239683163683,2
2738,2739,X386618,Bradenton,FL,Manatee,34211,27.45002,-82.37731,7885,Suburban,America/New_York,"Scientist, research (physical sciences)",1.0,53.27574750830565,Regular High School Diploma,Full Time,23454.98,Separated,Female,Yes,6.565703436,13,0,0,No,One year,No,No,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Electronic Check,6.512116985,233.8166731,1107.738951,5,3,5,2,4,3,3,2,-0.6707031271762188,1
2739,2740,H632227,West Lebanon,NH,Grafton,3784,43.6368,-72.30594,4004,Rural,America/New_York,Product designer,1.0,76.0,Master's Degree,Student,28125.61,Divorced,Female,Yes,6.098634783,8,2,0,No,Month-to-month,No,No,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Bank Transfer(automatic),16.15139383,197.4080895,1696.96925,3,4,3,2,3,3,2,4,-0.480638357246664,0
2740,2741,A784083,Dewart,PA,Northumberland,17730,41.1104,-76.87848,200,Suburban,America/New_York,Chief Marketing Officer,2.0,72.0,Associate's Degree,Unemployed,20465.98,Widowed,Female,Yes,36.78803004,10,1,1,No,Month-to-month,No,No,None,Yes,No,No,No,No,Yes,No,Yes,Yes,Credit Card (automatic),0.0,154.1541235,825.6485531,7,4,6,2,5,5,4,4,-0.792336310990702,0
2741,2742,Z887842,Winter,WI,Sawyer,54896,45.81341,-90.88566,1406,Suburban,America/Chicago,Astronomer,1.0,81.0,GED or Alternative Credential,Part Time,22540.94,Never Married,Female,Yes,6.292644436,14,0,0,No,Two Year,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,No,Credit Card (automatic),7.193929026,128.4650414,0.0,2,2,2,6,2,5,5,3,-0.7078987094223849,2
2742,2743,S610382,Madison,WI,Dane,53713,43.03713,-89.38571,23029,Suburban,America/Chicago,Environmental education officer,0.0,53.27574750830565,"9th Grade to 12th Grade, No Diploma",Full Time,21497.29,Widowed,Male,Yes,13.76331015,13,0,1,No,Two Year,No,No,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Electronic Check,8.52708362,254.2500774,0.0,4,5,4,1,4,4,4,5,-0.750368589746234,2
2743,2744,C707263,Horsham,PA,Montgomery,19044,40.18607,-75.15289,16350,Suburban,America/New_York,Ecologist,1.0,24.0,Regular High School Diploma,Part Time,24700.6,Married,Prefer not to answer,No,7.917042352,12,0,0,No,Two Year,No,No,Fiber Optic,Yes,No,Yes,No,No,Yes,Yes,No,No,Mailed Check,11.84082422,154.2208032,1318.102379,6,7,7,3,4,4,4,4,-0.6200143595539384,2
2744,2745,N764043,Tunnelton,IN,Lawrence,47467,38.76797,-86.34472,117,Rural,America/Indiana/Indianapolis,Multimedia programmer,3.0,45.0,"Some College, 1 or More Years, No Degree",Full Time,20319.77,Married,Male,Yes,9.836297939,16,0,0,No,One year,Yes,No,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Mailed Check,3.660515738,233.2597912,998.0643375,3,4,4,3,4,1,3,3,-0.7982861229028851,1
2745,2746,P417515,Valley Head,AL,DeKalb,35989,34.60744,-85.63124,3519,Urban,America/Chicago,Petroleum engineer,1.0,53.27574750830565,Bachelor's Degree,Retired,46273.12,Divorced,Male,Yes,12.25095481,11,0,0,No,One year,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Yes,No,No,Electronic Check,12.22941703,132.6092342,1718.405985,3,4,4,5,3,3,3,3,0.2578492371344572,1
2746,2747,F494529,Amma,WV,Roane,25005,38.58088,-81.26921,141,Urban,America/New_York,Contracting civil engineer,2.0,72.0,"Some College, 1 or More Years, No Degree",Full Time,39936.76222636489,Separated,Male,No,12.8297229,9,1,0,No,One year,No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Electronic Check,16.57284364,206.0121677,1836.91871,3,4,3,4,4,3,3,3,1.1843397656906803e-15,1
2747,2748,J826967,Austin,TX,Travis,78735,30.2659,-97.86658,17923,Urban,America/Chicago,Television floor manager,4.0,53.27574750830565,"Some College, Less than 1 Year",Full Time,39936.76222636489,Separated,Prefer not to answer,Yes,9.070967575,11,1,1,No,Month-to-month,No,Yes,None,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Bank Transfer(automatic),15.80735521,210.9955488,0.0,3,4,4,4,4,4,4,3,1.1843397656906803e-15,0
2748,2749,P870952,Lena,MS,Leake,39094,32.57821,-89.67587,3988,Urban,America/Chicago,Financial adviser,0.0,27.0,"9th Grade to 12th Grade, No Diploma",Full Time,34162.04,Widowed,Female,No,7.253207089,10,0,1,No,Two Year,No,No,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Credit Card (automatic),0.0,231.7850551,1332.732935,4,4,4,3,4,2,3,4,-0.23499426230746676,2
2749,2750,D518375,Hartwick,NY,Otsego,13348,42.70859,-75.06767,1419,Urban,America/New_York,Community development worker,0.0,60.0,"9th Grade to 12th Grade, No Diploma",Student,66664.82,Divorced,Male,Yes,4.323651285,13,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Bank Transfer(automatic),11.38275254,268.7086668,1636.428296,3,4,3,5,2,5,4,3,1.0876610117713914,0
2750,2751,U568821,Baldwin,IL,Randolph,62217,38.17349,-89.84446,748,Suburban,America/Chicago,Arboriculturist,1.0,53.27574750830565,Associate's Degree,Full Time,40411.35,Separated,Male,Yes,3.515965475,12,0,0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Electronic Check,6.780515198,223.1064853,1158.10468,4,5,4,2,3,4,4,4,0.019312687155125203,0
2751,2752,I918785,Pleasant Valley,IA,Scott,52767,41.56564,-90.42228,182,Rural,America/Chicago,Gaffer,4.0,18.0,Bachelor's Degree,Full Time,70844.17,Divorced,Female,Yes,9.592403642,12,0,1,No,Month-to-month,No,No,Fiber Optic,No,Yes,No,No,No,No,Yes,No,Yes,Electronic Check,8.27838968,170.1695164,1169.714886,3,2,4,4,4,2,2,3,1.2577338276881056,0
2752,2753,J110435,Durham,NC,Durham,27705,36.02698,-78.98065,49019,Suburban,America/New_York,Dancer,1.0,53.0,"9th Grade to 12th Grade, No Diploma",Retired,105396.27,Separated,Male,Yes,14.30346598,11,0,0,No,One year,Yes,No,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,No,Mailed Check,0.0,242.4366521,1369.012136,3,3,4,4,3,3,2,5,2.66378331931621,1
2753,2754,I133946,Pelahatchie,MS,Rankin,39145,32.34293,-89.79808,4634,Rural,America/Chicago,Recruitment consultant,0.0,81.0,Associate's Degree,Full Time,58049.87,Married,Female,No,12.62935965,8,0,0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Bank Transfer(automatic),1.835564047,173.0721317,387.3140839,4,4,4,3,3,5,4,3,0.7370876437879247,2
2754,2755,Q940233,Altus,AR,Franklin,72821,35.44217,-93.72353,1831,Rural,America/Chicago,Speech and language therapist,2.0,53.27574750830565,Regular High School Diploma,Retired,39936.76222636489,Separated,Male,No,13.52533207,17,1,0,No,Two Year,Yes,No,DSL,Yes,Yes,Yes,No,No,No,No,Yes,No,Electronic Check,0.0,163.2721026,1810.906541,3,3,4,4,2,4,2,4,1.1843397656906803e-15,2
2755,2756,J812375,Hepzibah,WV,Harrison,26369,39.33403,-80.33176,672,Urban,America/New_York,Solicitor,0.0,53.27574750830565,Bachelor's Degree,Full Time,115440.45,Widowed,Female,Yes,6.307570923,11,0,0,No,Month-to-month,Yes,No,DSL,No,Yes,No,No,No,No,Yes,No,No,Mailed Check,8.612474419,149.4559207,1425.150573,3,3,4,3,3,3,4,2,3.0725172076419898,0
2756,2757,F592408,Pearisburg,VA,Giles,24134,37.24522,-80.77994,4993,Suburban,America/New_York,Leisure centre manager,1.0,21.0,"Some College, 1 or More Years, No Degree",Full Time,39936.76222636489,Divorced,Female,No,6.854642941,12,2,1,Yes,One year,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Credit Card (automatic),3.122124532,151.1082044,631.6069096,2,1,1,3,3,2,3,1,1.1843397656906803e-15,1
2757,2758,L825804,Hackett,AR,Sebastian,72937,35.13269,-94.39671,3275,Suburban,America/Chicago,Psychiatrist,0.0,45.0,No Schooling Completed,Full Time,16895.6,Divorced,Female,Yes,6.963229373,11,2,0,No,Month-to-month,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Electronic Check,0.0,171.8148647,1601.994832,4,4,2,4,3,5,3,4,-0.9376279425823897,0
2758,2759,U25555,Skippers,VA,Greensville,23879,36.59296,-77.59678,674,Urban,America/New_York,"Administrator, arts",0.0,53.27574750830565,Bachelor's Degree,Full Time,39936.76222636489,Divorced,Male,Yes,12.81731458,10,1,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Electronic Check,5.679236604,206.5314528,895.0975786,6,5,6,3,2,4,5,5,1.1843397656906803e-15,0
2759,2760,V67946,Townsend,GA,McIntosh,31331,31.52645,-81.43706,7900,Urban,America/New_York,Ergonomist,0.0,53.27574750830565,Doctorate Degree,Full Time,41221.83,Never Married,Female,No,9.309082207,10,1,1,No,Month-to-month,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,No,No,No,Electronic Check,1.050155087,157.2735575,223.4765826,3,2,4,3,3,4,2,6,0.05229403972051921,0
2760,2761,E929600,Edgerton,OH,Williams,43517,41.44021,-84.72686,4134,Suburban,America/New_York,Broadcast presenter,6.0,48.0,Regular High School Diploma,Full Time,13332.2,Separated,Male,Yes,7.093684195,9,0,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,No,No,No,No,Yes,Electronic Check,10.6897179,156.2591926,1221.300132,4,5,5,5,3,3,3,3,-1.0826355328147512,0
2761,2762,S614208,Brielle,NJ,Monmouth,8730,40.10484,-74.06368,4709,Urban,America/New_York,"Civil engineer, contracting",3.0,53.27574750830565,Associate's Degree,Full Time,39936.76222636489,Separated,Male,No,4.294852815,10,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Mailed Check,2.210399275,216.9440196,731.2638925,3,3,4,3,2,5,4,5,1.1843397656906803e-15,2
